Cell,Worm,mRNA,Mean,Probe,Strain,Time,Root_Cell,Cell_Value
H0,1.0,1.0,9.2,ceh-16,WT(JR667),10,H0,
H0,2.0,6.0,9.2,ceh-16,WT(JR667),10,H0,
H0,4.0,12.0,9.2,ceh-16,WT(JR667),10,H0,
H0,5.0,0.0,9.2,ceh-16,WT(JR667),10,H0,
H0,6.0,12.0,9.2,ceh-16,WT(JR667),10,H0,
H0,7.0,14.0,9.2,ceh-16,WT(JR667),10,H0,
H0,8.0,14.0,9.2,ceh-16,WT(JR667),10,H0,
H0,9.0,22.0,9.2,ceh-16,WT(JR667),10,H0,
H0,10.0,3.0,9.2,ceh-16,WT(JR667),10,H0,
H0,11.0,4.0,9.2,ceh-16,WT(JR667),10,H0,
H0,12.0,10.0,9.2,ceh-16,WT(JR667),10,H0,
H0,13.0,5.0,9.2,ceh-16,WT(JR667),10,H0,
H0,15.0,14.0,9.2,ceh-16,WT(JR667),10,H0,
H0,16.0,0.0,9.2,ceh-16,WT(JR667),10,H0,
H0,20.0,8.0,9.2,ceh-16,WT(JR667),10,H0,
H0,21.0,3.0,9.2,ceh-16,WT(JR667),10,H0,
H0,22.0,4.0,9.2,ceh-16,WT(JR667),10,H0,
H0,23.0,14.0,9.2,ceh-16,WT(JR667),10,H0,
H0,25.0,7.0,9.2,ceh-16,WT(JR667),10,H0,
H0,26.0,1.0,9.2,ceh-16,WT(JR667),10,H0,
H0,27.0,5.0,9.2,ceh-16,WT(JR667),10,H0,
H0,28.0,7.0,9.2,ceh-16,WT(JR667),10,H0,
H0,29.0,43.0,9.2,ceh-16,WT(JR667),10,H0,
H0,30.0,10.0,9.2,ceh-16,WT(JR667),10,H0,
H0,31.0,3.0,9.2,ceh-16,WT(JR667),10,H0,
H0,32.0,24.0,9.2,ceh-16,WT(JR667),10,H0,
H0,33.0,9.0,9.2,ceh-16,WT(JR667),10,H0,
H0,34.0,6.0,9.2,ceh-16,WT(JR667),10,H0,
H0,35.0,8.0,9.2,ceh-16,WT(JR667),10,H0,
H0,36.0,7.0,9.2,ceh-16,WT(JR667),10,H0,
H2,1.0,2.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,2.0,3.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,4.0,26.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,5.0,4.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,6.0,6.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,7.0,9.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,8.0,11.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,9.0,23.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,10.0,4.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,11.0,6.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,12.0,13.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,13.0,12.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,15.0,14.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,16.0,4.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,20.0,3.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,21.0,3.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,22.0,3.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,23.0,1.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,25.0,5.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,26.0,9.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,27.0,1.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,28.0,3.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,29.0,51.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,30.0,15.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,31.0,2.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,32.0,18.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,33.0,13.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,34.0,3.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,35.0,25.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
H2,36.0,6.0,9.933333333333334,ceh-16,WT(JR667),10,H2,
V1,1.0,1.0,7.633333333333334,ceh-16,WT(JR667),10,V1,
V1,2.0,7.0,7.633333333333334,ceh-16,WT(JR667),10,V1,
V1,4.0,19.0,7.633333333333334,ceh-16,WT(JR667),10,V1,
V1,5.0,4.0,7.633333333333334,ceh-16,WT(JR667),10,V1,
V1,6.0,9.0,7.633333333333334,ceh-16,WT(JR667),10,V1,
V1,7.0,14.0,7.633333333333334,ceh-16,WT(JR667),10,V1,
V1,8.0,6.0,7.633333333333334,ceh-16,WT(JR667),10,V1,
V1,9.0,15.0,7.633333333333334,ceh-16,WT(JR667),10,V1,
V1,10.0,2.0,7.633333333333334,ceh-16,WT(JR667),10,V1,
V1,11.0,4.0,7.633333333333334,ceh-16,WT(JR667),10,V1,
V1,12.0,14.0,7.633333333333334,ceh-16,WT(JR667),10,V1,
V1,13.0,13.0,7.633333333333334,ceh-16,WT(JR667),10,V1,
V1,15.0,6.0,7.633333333333334,ceh-16,WT(JR667),10,V1,
V1,16.0,6.0,7.633333333333334,ceh-16,WT(JR667),10,V1,
V1,20.0,2.0,7.633333333333334,ceh-16,WT(JR667),10,V1,
