Cell,Worm,mRNA,Mean,Probe,Strain
T,3.0,22.0,17.102564102564102,ceh-16,WT(JR667)
T,5.0,15.0,17.102564102564102,ceh-16,WT(JR667)
T,7.0,33.0,17.102564102564102,ceh-16,WT(JR667)
T,14.0,30.0,17.102564102564102,ceh-16,WT(JR667)
T,19.0,16.0,17.102564102564102,ceh-16,WT(JR667)
T,20.0,2.0,17.102564102564102,ceh-16,WT(JR667)
T,22.0,25.0,17.102564102564102,ceh-16,WT(JR667)
T,24.0,15.0,17.102564102564102,ceh-16,WT(JR667)
T,26.0,20.0,17.102564102564102,ceh-16,WT(JR667)
T,32.0,26.0,17.102564102564102,ceh-16,WT(JR667)
T,37.0,20.0,17.102564102564102,ceh-16,WT(JR667)
T,46.0,24.0,17.102564102564102,ceh-16,WT(JR667)
T,49.0,21.0,17.102564102564102,ceh-16,WT(JR667)
T,51.0,33.0,17.102564102564102,ceh-16,WT(JR667)
T,53.0,29.0,17.102564102564102,ceh-16,WT(JR667)
T,55.0,7.0,17.102564102564102,ceh-16,WT(JR667)
T,58.0,6.0,17.102564102564102,ceh-16,WT(JR667)
T,65.0,15.0,17.102564102564102,ceh-16,WT(JR667)
T,66.0,9.0,17.102564102564102,ceh-16,WT(JR667)
T,68.0,8.0,17.102564102564102,ceh-16,WT(JR667)
T,72.0,13.0,17.102564102564102,ceh-16,WT(JR667)
T,74.0,20.0,17.102564102564102,ceh-16,WT(JR667)
T,76.0,21.0,17.102564102564102,ceh-16,WT(JR667)
T,78.0,10.0,17.102564102564102,ceh-16,WT(JR667)
T,79.0,2.0,17.102564102564102,ceh-16,WT(JR667)
T,84.0,29.0,17.102564102564102,ceh-16,WT(JR667)
T,85.0,9.0,17.102564102564102,ceh-16,WT(JR667)
T,88.0,6.0,17.102564102564102,ceh-16,WT(JR667)
T,90.0,15.0,17.102564102564102,ceh-16,WT(JR667)
T,91.0,6.0,17.102564102564102,ceh-16,WT(JR667)
T,94.0,9.0,17.102564102564102,ceh-16,WT(JR667)
T,95.0,11.0,17.102564102564102,ceh-16,WT(JR667)
T,97.0,26.0,17.102564102564102,ceh-16,WT(JR667)
T,99.0,22.0,17.102564102564102,ceh-16,WT(JR667)
T,101.0,6.0,17.102564102564102,ceh-16,WT(JR667)
T,103.0,15.0,17.102564102564102,ceh-16,WT(JR667)
T,104.0,25.0,17.102564102564102,ceh-16,WT(JR667)
T,105.0,24.0,17.102564102564102,ceh-16,WT(JR667)
T,107.0,22.0,17.102564102564102,ceh-16,WT(JR667)
V3a,3.0,42.0,8.605263157894736,ceh-16,WT(JR667)
V3a,5.0,47.0,8.605263157894736,ceh-16,WT(JR667)
V3a,7.0,2.0,8.605263157894736,ceh-16,WT(JR667)
V3a,14.0,14.0,8.605263157894736,ceh-16,WT(JR667)
V3a,16.0,6.0,8.605263157894736,ceh-16,WT(JR667)
V3a,17.0,0.0,8.605263157894736,ceh-16,WT(JR667)
V3a,19.0,11.0,8.605263157894736,ceh-16,WT(JR667)
V3a,20.0,9.0,8.605263157894736,ceh-16,WT(JR667)
V3a,22.0,2.0,8.605263157894736,ceh-16,WT(JR667)
V3a,24.0,10.0,8.605263157894736,ceh-16,WT(JR667)
V3a,25.0,0.0,8.605263157894736,ceh-16,WT(JR667)
V3a,26.0,18.0,8.605263157894736,ceh-16,WT(JR667)
V3a,27.0,1.0,8.605263157894736,ceh-16,WT(JR667)
V3a,28.0,21.0,8.605263157894736,ceh-16,WT(JR667)
V3a,29.0,3.0,8.605263157894736,ceh-16,WT(JR667)
V3a,32.0,0.0,8.605263157894736,ceh-16,WT(JR667)
V3a,33.0,5.0,8.605263157894736,ceh-16,WT(JR667)
V3a,37.0,0.0,8.605263157894736,ceh-16,WT(JR667)
V3a,40.0,27.0,8.605263157894736,ceh-16,WT(JR667)
V3a,41.0,25.0,8.605263157894736,ceh-16,WT(JR667)
V3a,45.0,3.0,8.605263157894736,ceh-16,WT(JR667)
V3a,46.0,3.0,8.605263157894736,ceh-16,WT(JR667)
V3a,49.0,26.0,8.605263157894736,ceh-16,WT(JR667)
V3a,51.0,0.0,8.605263157894736,ceh-16,WT(JR667)
V3a,52.0,5.0,8.605263157894736,ceh-16,WT(JR667)
V3a,53.0,1.0,8.605263157894736,ceh-16,WT(JR667)
V3a,54.0,4.0,8.605263157894736,ceh-16,WT(JR667)
V3a,55.0,0.0,8.605263157894736,ceh-16,WT(JR667)
V3a,58.0,11.0,8.605263157894736,ceh-16,WT(JR667)
V3a,59.0,3.0,8.605263157894736,ceh-16,WT(JR667)
V3a,62.0,5.0,8.605263157894736,ceh-16,WT(JR667)
V3a,63.0,0.0,8.605263157894736,ceh-16,WT(JR667)
V3a,65.0,14.0,8.605263157894736,ceh-16,WT(JR667)
V3a,66.0,6.0,8.605263157894736,ceh-16,WT(JR667)
V3a,67.0,0.0,8.605263157894736,ceh-16,WT(JR667)
V3a,68.0,0.0,8.605263157894736,ceh-16,WT(JR667)
V3a,69.0,1.0,8.605263157894736,ceh-16,WT(JR667)
V3a,71.0,2.0,8.605263157894736,ceh-16,WT(JR667)
V3p,3.0,43.0,9.083333333333334,ceh-16,WT(JR667)
V3p,5.0,55.0,9.083333333333334,ceh-16,WT(JR667)
V3p,7.0,4.0,9.083333333333334,ceh-16,WT(JR667)
V3p,14.0,12.0,9.083333333333334,ceh-16,WT(JR667)
V3p,19.0,14.0,9.083333333333334,ceh-16,WT(JR667)
V3p,20.0,10.0,9.083333333333334,ceh-16,WT(JR667)
V3p,22.0,0.0,9.083333333333334,ceh-16,WT(JR667)
V3p,24.0,16.0,9.083333333333334,ceh-16,WT(JR667)
V3p,25.0,0.0,9.083333333333334,ceh-16,WT(JR667)
V3p,26.0,7.0,9.083333333333334,ceh-16,WT(JR667)
V3p,27.0,2.0,9.083333333333334,ceh-16,WT(JR667)
V3p,29.0,3.0,9.083333333333334,ceh-16,WT(JR667)
V3p,30.0,2.0,9.083333333333334,ceh-16,WT(JR667)
V3p,32.0,1.0,9.083333333333334,ceh-16,WT(JR667)
V3p,33.0,4.0,9.083333333333334,ceh-16,WT(JR667)
V3p,37.0,3.0,9.083333333333334,ceh-16,WT(JR667)
V3p,40.0,21.0,9.083333333333334,ceh-16,WT(JR667)
V3p,41.0,19.0,9.083333333333334,ceh-16,WT(JR667)
V3p,45.0,5.0,9.083333333333334,ceh-16,WT(JR667)
V3p,46.0,1.0,9.083333333333334,ceh-16,WT(JR667)
V3p,49.0,36.0,9.083333333333334,ceh-16,WT(JR667)
V3p,51.0,2.0,9.083333333333334,ceh-16,WT(JR667)
V3p,52.0,2.0,9.083333333333334,ceh-16,WT(JR667)
V3p,53.0,0.0,9.083333333333334,ceh-16,WT(JR667)
V3p,54.0,5.0,9.083333333333334,ceh-16,WT(JR667)
V3p,55.0,2.0,9.083333333333334,ceh-16,WT(JR667)
V3p,58.0,3.0,9.083333333333334,ceh-16,WT(JR667)
V3p,59.0,0.0,9.083333333333334,ceh-16,WT(JR667)
V3p,62.0,5.0,9.083333333333334,ceh-16,WT(JR667)
V3p,63.0,0.0,9.083333333333334,ceh-16,WT(JR667)
V3p,65.0,20.0,9.083333333333334,ceh-16,WT(JR667)
V3p,66.0,16.0,9.083333333333334,ceh-16,WT(JR667)
V3p,67.0,0.0,9.083333333333334,ceh-16,WT(JR667)
V3p,68.0,3.0,9.083333333333334,ceh-16,WT(JR667)
V3p,69.0,0.0,9.083333333333334,ceh-16,WT(JR667)
